pulsar,jname,glitch_no,mjd,df_f,df_f_err,df1_f1,df1_f1_err,reference
J1830-1135,1830-1135,1,52367.0,2.1,0.3,1.0,1.0,Espinoza+2011 [ elsk11 ]
J1833-1034,1833-1034,1,54169.0,3.1,0.1,1.4,0.2,Roy+2012 [ rgl12 ]
J1833-1034,1833-1034,2,54423.0,1.1,0.1,4.0,0.3,Roy+2012 [ rgl12 ]
J1833-1034,1833-1034,3,54750.0,3.6,0.1,-7.7,0.2,Roy+2012 [ rgl12 ]
J1833-1034,1833-1034,4,55142.0,7.5,0.1,-9.9,0.2,Roy+2012 [ rgl12 ]
J1832+0029,1832+0029,1,53498.0,66.0,1.0,53.0,5.0,New - our measurement
B1834-10,1836-1008,1,55744.0,3.6,0.1,,,Basu+2021 [ bsa+21 ]
B1834-10,1836-1008,2,58920.0,4702.0,11.0,,,Keith+2024 [ kjk+24 ]
B1834-10,1836-1008,3,59329.0,1.88,0.14,0.3,0.6,New - Our measurement
J1834-0731,1834-0731,1,53479.0,4.4,0.4,0.6,0.4,Espinoza+2011 [ elsk11 ]
J1835-0024,1835-0024,1,58649.0,0.8,0.02,1.02,0.13,New - Our measurement
J1835-1020,1835-1020,1,57589.5,3.26,0.02,0.2,0.1,Basu+2021 [ bsa+21 ]
J1835-1106,1835-1106,1,52225.8,15.6,0.4,2.5,0.4,"Espinoza+2011 [ elsk11 ], also in Zou+2004 [ zww+04 ], Yu+2012 [ ymh+12 ]"
J1835-1106,1835-1106,2,58488.0,9.3,0.6,4.0,1.0,New - Our measurement
J1837-0604,1837-0604,1,55821.0,1398.0,1.0,6.9,0.7,Basu+2021 [ bsa+21 ]; also in Lower+2021 [ ljd+21 ]
J1837-0604,1837-0604,2,56511.0,16.7,0.8,,,Basu+2021 [ bsa+21 ]; also in Lower+2021 [ ljd+21 ]
J1837-0604,1837-0604,3,58233.7,70.0,1.0,,,Basu+2019 [ bkj+19 ]
J1837-0604,1837-0604,4,56910.0,3290.0,50.0,,,Keith+2024 [ kjk+24 ]
J1837-0559,1837-0559,1,53150.0,3.2,0.3,13.0,7.0,Espinoza+2011 [ elsk11 ]
J1837-0559,1837-0559,2,56258.0,0.2,0.2,,,Basu+2021 [ bsa+21 ]
J1837-0559,1837-0559,3,58022.0,3.4,0.3,,,Basu+2021 [ bsa+21 ]
J1838-0537,1838-0537,1,55100.0,5500.0,,-15.0,,Pletsch+2012 [ pga+12 ]
J1838-0453,1838-0453,1,52162.0,9902.0,381.0,7.0,1.0,Espinoza+2011 [ elsk11 ]
J1838-0453,1838-0453,2,54140.0,9.0,1.0,-0.1,0.4,Espinoza+2011 [ elsk11 ]
J1838-0453,1838-0453,3,58692.0,71.0,6.0,-6.0,4.0,New - Our measurement
B1838-04,1841-0425,1,53388.0,578.6,0.03,7.7,0.3,"Espinoza+2011 [ elsk11 ] also, in Yuan+2010 [ ywml10 ]"
J1839-0223,1839-0223,1,56994.0,3.17,0.04,3.5,0.2,Basu+2021 [ bsa+21 ]
J1841-0345,1841-0345,1,56863.0,3879.0,2.0,2.7,0.1,New - Our Measurement
B1841-05,1844-0538,1,47452.0,1.0,0.1,0.9,0.3,Espinoza+2011 [ elsk11 ]
