pulsar,jname,glitch_no,mjd,df_f,df_f_err,df1_f1,df1_f1_err,reference
J1016-5857,1016-5857,1,52549.0,1622.6,0.5,3.7,0.1,Yu+2012 [ ymh+12 ]
J1016-5857,1016-5857,2,55041.0,1912.0,0.4,4.4,0.3,Yu+2012 [ ymh+12 ]
J1016-5857,1016-5857,3,55595.0,1464.4,1.1,4.0,5.0,Lower+2021 [ ljd+21 ]
J1016-5857,1016-5857,4,56975.0,6.21,2.35,,,Lower+2021 [ ljd+21 ]
J1019-5749,1019-5749,1,55595.0,1.33,0.4,0.12,0.22,Lower+2021 [ ljd+21 ]
J1019-5749,1019-5749,2,55981.0,377.8,0.4,0.51,0.3,Lower+2021 [ ljd+21 ]
J1019-5749,1019-5749,3,59182.0,8.3,1.0,,,Keith+2024 [ kjk+24 ]
J1019-5749,1019-5749,4,59265.0,398.3,2.5,,,Keith+2024 [ kjk+24 ]
J1023-5746,1023-5746,1,55043.0,3570.0,1.0,10.62,0.07,G&#252;gercino&#287;lu+22 [ ggyz22 ]; also in Belfore+2011 [ 3rd Fermi symp. ]
J1023-5746,1023-5746,2,56004.0,2822.0,4.0,12.6,0.2,G&#252;gercino&#287;lu+22 [ ggyz22 ]
J1023-5746,1023-5746,3,56647.0,3306.0,1.0,11.0,0.2,G&#252;gercino&#287;lu+22 [ ggyz22 ]
J1023-5746,1023-5746,4,57192.0,22.0,1.0,-1.74,0.08,G&#252;gercino&#287;lu+22 [ ggyz22 ]
J1023-5746,1023-5746,5,57727.0,3784.9,0.9,14.82,0.02,G&#252;gercino&#287;lu+22 [ ggyz22 ]
J1023-5746,1023-5746,6,58202.0,2729.0,1.0,5.2,0.03,G&#252;gercino&#287;lu+22 [ ggyz22 ]
J1023-5746,1023-5746,7,58823.0,1681.0,0.4,6.77,0.09,G&#252;gercino&#287;lu+22 [ ggyz22 ]
J1028-5819,1028-5819,1,57881.0,2296.5,0.5,35.0,1.0,Lower+2021 [ ljd+21 ]; also in Liu+24 [ lyg+24 ]
B1046-58,1048-5832,1,48944.0,19.0,2.0,0.3,0.1,"Wang+2000 [ wmp+00 ], also in Yu+2012 [ ymh+12 ]"
B1046-58,1048-5832,2,49034.0,3000.0,10.0,3.7,0.1,"Wang+2000 [ wmp+00 ], also in Yu+2012 [ ymh+12 ]"
B1046-58,1048-5832,3,50791.49,768.0,1.0,14.0,5.0,"Urama (2002) [ ura02 ], also in Yu+2012 [ ymh+12 ]"
B1046-58,1048-5832,4,52733.0,1838.4,9.0,3.7,0.3,Yu+2012 [ ymh+12 ]
B1046-58,1048-5832,5,53673.0,28.5,0.4,0.2,0.1,Yu+2012 [ ymh+12 ]
B1046-58,1048-5832,6,54495.0,3043.1,0.2,4.77,0.02,"Weltevrede+2010 [ wjm+10 ], also in Yu+2012 [ ymh+12 ] and Lower+2021 [ ljd+21 ]"
B1046-58,1048-5832,7,56756.0,2963.0,4.0,9.0,9.0,Lower+2021 [ ljd+21 ]
B1046-58,1048-5832,8,59203.9,8.89,0.09,,,Zubieta+2023 [ zmf+23 ]
B1046-58,1048-5832,9,59540.0,9.9,0.3,,,Zubieta+2023 [ zmf+23 ]
B1046-58,1048-5832,10,59732.0,0.91,0.04,0.009,0.008,Zubieta+2024 [ zgp+24 ]
B1046-58,1048-5832,11,60090.0,4.5,0.1,1.01,0.04,Zubieta+2024 [ zgp+24 ]
B1046-58,1048-5832,12,60406.6,4078.0,10.0,11.0,0.5,Zubieta+2024 [ zgp+24 ]
1E_1048.1-5937,1048-5937,1,52386.0,2900.0,100.0,76.0,4.0,Dib+2008 [ dkg08b ]
1E_1048.1-5937,1048-5937,2,54185.9,16300.0,200.0,-111.0,74.0,Dib+2008 [ dkg08b ]
J1052-5954,1052-5954,1,54526.0,6747.8,0.7,14.1,0.4,"Weltevrede+2010 [ wjm+10 ], also in Yu+2012 [ ymh+12 ]"
J1055-6028,1055-6028,1,57035.0,105.7,0.6,1.3,0.3,Lower+2021 [ ljd+21 ]
J1105-6107,1105-6107,1,50417.0,279.7,0.2,4.63,0.04,"Wang+2000 [ wmp+00 ], also in Yu+2012 [ ymh+12 ]"
J1105-6107,1105-6107,2,50610.0,2.0,3.0,0.19,0.01,Wang+2000 [ wmp+00 ]
J1105-6107,1105-6107,3,51598.0,971.7,0.5,0.1,0.1,Yu+2012 [ ymh+12 ]
J1105-6107,1105-6107,4,54711.0,23.0,1.0,0.0,0.3,"Weltevrede+2010 [ wjm+10 ], also in Yu+2012 [ ymh+12 ]"
J1105-6107,1105-6107,5,55288.0,954.4,0.1,,,Yu+2012 [ ymh+12 ]
J1112-6103,1112-6103,1,51395.0,1825.0,25.0,4.7,0.4,Yu+2012 [ ymh+12 ]
J1112-6103,1112-6103,2,53337.0,1202.0,21.0,7.0,2.0,Yu+2012 [ ymh+12 ]
J1112-6103,1112-6103,3,55288.0,1793.0,1.0,6.0,2.0,Lower+2021 [ ljd+21 ]
J1112-6103,1112-6103,4,57922.0,1283.0,1.0,4.9,0.5,Lower+2021 [ ljd+21 ]
J1119-6127,1119-6127,1,51398.0,4.4,0.4,0.04,0.01,"Camilo+2004 [ ckl+00 ], also in Yu+2012 [ ymh+12 ]"
J1119-6127,1119-6127,2,53290.0,321.0,33.0,6.0,1.0,"Weltevrede+2011 [ wje11 ], also in Yu+2012 [ ymh+12 ]"
J1119-6127,1119-6127,3,54240.0,5419.0,794.0,197.8,0.4,"Weltevrede+2011 [ wje11 ], also in Yu+2012 [ ymh+12 ]"
J1119-6127,1119-6127,4,57597.5,5790.0,200.0,,,Archibald+2016 (ATel)
J1123-6259,1123-6259,1,49705.87,749.0,1.0,1.0,0.4,Wang+2000 [ wmp+00 ]
J1124-5916,1124-5916,1,55191.0,16.0,1.0,4.73,0.05,Ray+2011 [ rkp+11 ]
J1141-3322,1141-3322,1,50521.31,0.4,0.1,-4.0,5.0,Espinoza+2011 [ elsk11 ]
J1248-6344,1248-6344,1,56043.0,1.7,0.2,,,Lower+2021 [ ljd+21 ]
B1254-10,1257-1027,1,58645.0,3.017,0.019,,,New - Our measurement
B1259-63,1302-6350,1,50691.0,3.2,0.1,2.5,0.1,Wang+2004 [ wjm04 ]
J1301-6305,1301-6305,1,51923.0,4630.0,17.0,8.6,0.1,Yu+2012 [ ymh+12 ]
J1301-6305,1301-6305,2,53383.0,2664.0,6.0,3.9,0.1,Yu+2012 [ ymh+12 ]
J1301-6305,1301-6305,3,55124.0,4169.0,3.0,5.8,0.7,Lower+2021 [ ljd+21 ]
J1301-6305,1301-6305,4,57718.0,658.0,3.0,6.0,0.5,Lower+2021 [ ljd+21 ]
J1320-5359,1320-5359,1,56354.0,10.5,0.1,0.2,0.2,Lower+2021 [ ljd+21 ]
J1320-5359,1320-5359,2,56737.0,246.8,0.1,0.08,0.14,Lower+2021 [ ljd+21 ]
B1325-43,1328-4357,1,43590.0,116.0,,,,Newton+1981 [ nmc81 ]
B1338-62,1341-6220,1,47989.0,1509.0,1.0,0.2,0.1,Wang+2000 [ wmp+00 ]
B1338-62,1341-6220,2,48453.0,23.0,7.0,-0.5,0.1,Wang+2000 [ wmp+00 ]
B1338-62,1341-6220,3,48645.0,996.0,3.0,0.7,0.1,Wang+2000 [ wmp+00 ]
B1338-62,1341-6220,4,49134.0,13.0,13.0,0.6,0.2,Wang+2000 [ wmp+00 ]
B1338-62,1341-6220,5,49363.0,146.0,38.0,0.7,0.2,Wang+2000 [ wmp+00 ]
B1338-62,1341-6220,6,49523.0,37.0,35.0,-0.6,0.1,Wang+2000 [ wmp+00 ]
B1338-62,1341-6220,7,49766.0,15.0,2.0,-0.3,0.1,"Wang+2000 [ wmp+00 ], also in Yu+2012 [ ymh+12 ]"
B1338-62,1341-6220,8,49904.0,31.0,1.0,-1.9,0.4,"Wang+2000 [ wmp+00 ], also in Yu+2012 [ ymh+12 ]"
B1338-62,1341-6220,9,50008.0,1648.0,3.0,3.3,0.4,"Wang+2000 [ wmp+00 ], also in Yu+2012 [ ymh+12 ]"
B1338-62,1341-6220,10,50322.0,30.0,1.0,0.6,0.1,"Wang+2000 [ wmp+00 ], also in Yu+2012 [ ymh+12 ]"
B1338-62,1341-6220,11,50529.0,23.0,1.0,1.0,0.4,"Wang+2000 [ wmp+00 ], also in Yu+2012 [ ymh+12 ]"
B1338-62,1341-6220,12,50683.0,708.0,1.0,1.2,0.3,"Wang+2000 [ wmp+00 ], also in Yu+2012 [ ymh+12 ]"
B1338-62,1341-6220,13,51144.0,170.0,1.0,,,Yu+2012 [ ymh+12 ]
B1338-62,1341-6220,14,51617.0,1121.5,0.8,,,Yu+2012 [ ymh+12 ]
B1338-62,1341-6220,15,52093.0,480.0,4.0,,,Yu+2012 [ ymh+12 ]
B1338-62,1341-6220,16,52250.0,454.5,0.7,,,Yu+2012 [ ymh+12 ]
B1338-62,1341-6220,17,52788.0,219.2,0.2,-8.3,0.3,Yu+2012 [ ymh+12 ]
B1338-62,1341-6220,18,53232.0,277.0,3.0,,,Yu+2012 [ ymh+12 ]
B1338-62,1341-6220,19,53471.0,985.0,6.0,,,Yu+2012 [ ymh+12 ]
B1338-62,1341-6220,20,54128.0,194.0,0.8,5.0,0.1,Yu+2012 [ ymh+12 ]
B1338-62,1341-6220,21,54468.0,3078.2,0.3,,,"Weltevrede+2010 [ wjs10 ], also in Yu+2012 [ ymh+12 ]"
B1338-62,1341-6220,22,54870.0,3066.7,0.3,,,"Weltevrede+2010 [ wjs10 ], also in Yu+2012 [ ymh+12 ]"
B1338-62,1341-6220,23,55088.0,1579.0,2.0,,,Yu+2012 [ ymh+12 ]
B1338-62,1341-6220,24,55484.0,2.4,0.3,0.49,0.01,Lower+2021 [ ljd+21 ]
B1338-62,1341-6220,25,55835.0,329.0,0.4,0.98,0.02,Lower+2021 [ ljd+21 ]
B1338-62,1341-6220,26,56098.0,151.2,0.4,0.22,0.04,Lower+2021 [ ljd+21 ]
B1338-62,1341-6220,27,56386.0,96.0,1.0,,,Lower+2021 [ ljd+21 ]
B1338-62,1341-6220,28,56479.0,37.0,2.0,,,Lower+2021 [ ljd+21 ]
B1338-62,1341-6220,29,56602.0,1709.7,0.3,1.06,0.1,Lower+2021 [ ljd+21 ]
B1338-62,1341-6220,30,57357.0,28.7,0.7,0.25,0.09,Lower+2021 [ ljd+21 ]
B1338-62,1341-6220,31,57492.0,21.7,0.1,0.8,0.1,Lower+2021 [ ljd+21 ]
B1338-62,1341-6220,32,57647.0,706.0,1.0,0.77,0.09,Lower+2021 [ ljd+21 ]
B1338-62,1341-6220,33,57880.0,60.0,3.0,,,Lower+2021 [ ljd+21 ]
B1338-62,1341-6220,34,58178.0,,,,,Lower+2021 [ ljd+21 ]
B1338-62,1341-6220,35,58214.0,,,,,Lower+2021 [ ljd+21 ]
J1341-6023,1341-6023,1,59450.0,5774.98,0.24,,,Keith+2024 [ kjk+24 ]
J1357-6429,1357-6429,1,52021.0,2428.0,1.0,6.3,0.1,"Espinoza+2011 [ elsk11 ], also in Camilo+2004 [ cml+04 ]"
J1357-6429,1357-6429,2,54803.0,1752.0,7.0,2.8,2.8,Weltevrede+2010 [ wjm+10 ]
J1357-6429,1357-6429,3,55576.0,4860.0,3.0,14.7,0.8,Lower+2021 [ ljd+21 ]
J1357-6429,1357-6429,4,57795.0,2250.0,11.0,7.0,2.0,Lower+2021 [ ljd+21 ]
J1357-6429,1357-6429,5,58148.0,1930.0,5.0,,,Lower+2021 [ ljd+21 ]
J1406-6121,1406-6121,1,56193.0,143.5,1.6,2.0,4.0,Lower+2021 [ ljd+21 ]
J1410-6132,1410-6132,1,54652.0,272.6,0.5,-3.31,0.05,Weltevrede+2010 [ wjm+10 ]
J1412-6145,1412-6145,1,51868.0,7253.0,3.0,18.0,2.0,Yu+2012 [ ymh+12 ]
J1413-6205,1413-6205,1,54735.0,1730.0,,,,Belfore+2011 [ 3rd Fermi symp. ]
J1413-6141,1413-6141,1,51290.0,39.0,4.0,,,Yu+2012 [ ymh+12 ]
J1413-6141,1413-6141,2,51463.0,970.0,2.0,,,Yu+2012 [ ymh+12 ]
J1413-6141,1413-6141,3,51796.3,59.7,0.4,-0.3,0.0,Yu+2012 [ ymh+12 ]
J1413-6141,1413-6141,4,52092.0,811.0,2.0,0.3,0.6,Yu+2012 [ ymh+12 ]
J1413-6141,1413-6141,5,52899.4,46.9,0.8,,,Yu+2012 [ ymh+12 ]
J1413-6141,1413-6141,6,53125.0,1410.0,5.0,,,Yu+2012 [ ymh+12 ]
J1413-6141,1413-6141,7,54286.0,2409.8,1.1,0.4,0.4,Yu+2012 [ ymh+12 ]
J1413-6141,1413-6141,8,55744.0,235.0,2.0,,,Lower+2021 [ ljd+21 ]
J1413-6141,1413-6141,9,56147.0,200.0,3.0,,,Lower+2021 [ ljd+21 ]
J1413-6141,1413-6141,10,56567.0,371.0,2.0,,,Lower+2021 [ ljd+21 ]
J1413-6141,1413-6141,11,56975.0,30.0,2.0,,,Lower+2021 [ ljd+21 ]
J1413-6141,1413-6141,12,57236.0,266.0,2.0,,,Lower+2021 [ ljd+21 ]
J1413-6141,1413-6141,13,57509.0,356.0,2.0,,,Lower+2021 [ ljd+21 ]
J1413-6141,1413-6141,14,57838.0,2137.0,2.0,,,Lower+2021 [ ljd+21 ]
J1420-6048,1420-6048,1,51600.0,1146.2,30.0,3.8,0.1,Yu+2012 [ ymh+12 ]
J1420-6048,1420-6048,2,52754.0,2019.0,13.0,6.6,0.9,Yu+2012 [ ymh+12 ]
J1420-6048,1420-6048,3,53725.0,1270.0,4.0,3.9,0.3,Yu+2012 [ ymh+12 ]
J1420-6048,1420-6048,4,54652.0,937.1,0.3,2.95,0.01,"Weltevrede+2011 [ wje11 ], also in Yu+2012 [ ymh+12 ]; also in Liu+24 [ lyg+24 ]"
J1420-6048,1420-6048,5,55410.0,1346.0,0.2,,,Yu+2012 [ ymh+12 ]; also in Liu+24 [ lyg+24 ]
J1420-6048,1420-6048,6,56267.0,1954.2,0.3,5.7,0.2,Lower+2021 [ ljd+21 ]; also in Liu+24 [ lyg+24 ]
J1420-6048,1420-6048,7,57210.0,1210.0,2.0,9.0,7.0,Lower+2021 [ ljd+21 ]; also in Liu+24 [ lyg+24 ]
J1420-6048,1420-6048,8,58555.0,2777.0,4.0,64.0,15.0,Liu+24 [ lyg+24 ]
B1449-64,1453-6413,1,54552.0,0.3,0.02,0.6,0.1,Yu+2012 [ ymh+12 ]
B1449-64,1453-6413,2,59015.0,1.14,0.13,,,Keith+2024 [ kjk+24 ]
J1452-6036,1452-6036,1,55055.22,29.0,0.2,0.19,0.0,Yu+2012 [ ymh+12 ]
J1452-6036,1452-6036,2,57115.0,0.13,0.03,,,Lower+2021 [ ljd+21 ]
J1524-5625,1524-5625,1,55745.0,2977.0,0.7,15.5,0.9,Lower+2021 [ ljd+21 ]
J1524-5625,1524-5625,2,59297.0,2076.0,6.0,,,Keith+2024 [ kjk+24 ]
B1508+55,1509+5531,1,41732.0,0.2,0.1,-6.0,1.0,Manchester+1974 [ mt74 ]
B1530+27,1532+2745,1,49732.0,0.29,0.04,-1.0,2.0,Espinoza+2011 [ elsk11 ]
J1531-5610,1531-5610,1,51731.0,2637.0,11.0,25.0,10.0,Yu+2012 [ ymh+12 ]
B1535-56,1539-5626,1,48165.0,2793.0,1.0,1.0,1.0,Johnston+1995 [ jml+95 ]
B1610-50,1614-5048,1,49803.0,6460.0,80.0,9.7,0.2,Wang+2000 [ wmp+00 ]
B1610-50,1614-5048,2,53013.0,6242.0,37.0,9.14,0.04,Yu+2012 [ ymh+12 ]
B1610-50,1614-5048,3,55734.0,4098.0,3.0,3.0,1.0,Lower+2021 [ ljd+21 ]
B1610-50,1614-5048,4,56443.0,5949.0,9.0,,,Lower+2021 [ ljd+21 ]
J1617-5055,1617-5055,1,46960.0,600.0,5.0,,,Torii+2000 [ tgv+00 ]
J1617-5055,1617-5055,2,54747.0,334.0,3.0,9.0,11.0,Lower+2021 [ ljd+21 ]
J1617-5055,1617-5055,3,55164.0,11.0,2.0,0.8,0.6,Lower+2021 [ ljd+21 ]
J1617-5055,1617-5055,4,55316.0,68.0,2.0,2.2,0.6,Lower+2021 [ ljd+21 ]
J1617-5055,1617-5055,5,55873.0,55.0,2.0,1.1,0.6,Lower+2021 [ ljd+21 ]
J1617-5055,1617-5055,6,56267.0,2068.0,2.0,13.2,0.7,Lower+2021 [ ljd+21 ]
J1636-2614,1636-2614,1,56472.0,0.71,0.03,0.1,0.2,Basu+2021 [ bsa+21 ]; also in Burgay+2019 (as J1636-2614) [ bsb+19]
B1641-45,1644-4559,1,43390.0,191.0,1.0,2.0,1.0,Manchester et al. (1978) [ mngh7 ]
B1641-45,1644-4559,2,46453.0,803.6,0.1,0.5,0.3,Flanagan (1993) [ fla93 ]
B1641-45,1644-4559,3,47589.0,1.61,0.04,1.1,0.1,Flanagan (1993) [ fla93 ]
B1641-45,1644-4559,4,56600.0,717.4,0.3,0.4,0.5,Lower+2021 [ ljd+21 ]
B1643-43,1646-4346,1,53876.0,885.0,5.0,1.5,0.4,Yu+2012 [ ymh+12 ]
B1643-43,1646-4346,2,55288.0,8591.0,6.0,16.0,9.0,Lower+2021 [ ljd+21 ]
CXO_J164710.2-455216,1647-4552,1,53999.0,65000.0,3000.0,,,Israel+2007 [ icd+07 ]
J1650-4502,1650-4502,1,57778.0,12767.0,2.0,290.0,80.0,Lower+2021 [ ljd+21 ]
J1702-4128,1702-4128,1,57719.0,3090.0,1.0,10.0,2.0,Lower+2021 [ ljd+21 ]
J1702-4310,1702-4310,1,53943.0,4810.0,104.0,17.0,13.0,Yu+2012 [ ymh+12 ]
J1702-4310,1702-4310,2,57510.0,3129.0,4.0,5.0,2.0,Lower+2021 [ ljd+21 ]
B1702-19,1705-1906,1,48902.0,0.4,0.1,1.0,1.0,Espinoza+2011 [ elsk11 ]
B1702-19,1705-1906,2,55171.0,0.28,0.03,,,Basu+2021 [ bsa+21 ]
B1702-19,1705-1906,3,55955.0,0.3,0.03,,,Basu+2021 [ bsa+21 ]
B1702-19,1705-1906,4,57954.0,0.18,0.05,,,Basu+2021 [ bsa+21 ]
J1705-3423,1705-3423,1,51956.0,0.59,0.04,1.0,1.0,Espinoza+2011 [ elsk11 ]
J1705-3423,1705-3423,2,54408.0,0.57,0.04,3.0,1.0,"Espinoza+2011 [elsk11], also in Yuan+2010 [ ywml10 ]"
J1705-3423,1705-3423,3,55503.0,0.6,0.1,5.0,1.0,New - Our measurement
J1705-3950,1705-3950,1,58236.0,9331.0,6.0,61.0,11.0,Lower+2021 [ ljd+21 ]
B1706-44,1709-4429,1,48775.0,2057.0,2.0,4.0,0.1,Johnston+1995 [ jml+95 ]
B1706-44,1709-4429,2,51488.0,1167.0,17.0,6.2,0.2,Yu+2012 [ ymh+12 ]
B1706-44,1709-4429,3,52716.0,2872.0,26.0,8.0,0.1,Yu+2012 [ ymh+12 ]
B1706-44,1709-4429,4,54710.0,2749.7,0.1,4.95,0.01,Weltevrede+2010 [ wjm+10 ]; also in Liu+24 [ lyg+24 ]
B1706-44,1709-4429,5,56339.0,2694.0,4.0,9.7,0.8,Liu+24 [ lyg+24 ]
B1706-44,1709-4429,6,58176.0,52.4,0.1,,,Lower+2018 [ lfb+18 ]; also in Liu+24 [ lyg+24 ]
1RXS_J1708-4009,1708-4008,1,51445.0,561.0,33.0,5.0,3.0,Dib+2008 [ dkg08 ]
1RXS_J1708-4009,1708-4008,2,52016.0,4202.0,44.0,620.0,1.0,Dib+2008 [ dkg08 ]
1RXS_J1708-4009,1708-4008,3,52990.0,308.0,44.0,0.0,0.0,Dib+2008 [ dkg08 ]
1RXS_J1708-4009,1708-4008,4,53366.0,572.0,66.0,12.0,8.0,Dib+2008 [ dkg08 ]
1RXS_J1708-4009,1708-4008,5,53549.0,2707.0,99.0,12.0,12.0,Dib+2008 [ dkg08 ]
1RXS_J1708-4009,1708-4008,6,53636.0,737.0,33.0,-36.0,3.0,Dib+2008 [ dkg08 ]
B1717-16,1720-1633,1,51169.0,1.5,0.2,8.0,3.0,Espinoza+2011 [ elsk11 ]
J1718-3825,1718-3825,1,54911.0,1.94,0.03,-0.12,0.04,Yu+2012 [ ymh+12 ]; also in Liu+24 [ lyg+24 ]
J1718-3825,1718-3825,2,57950.0,7.1,0.1,,,Lower+2021 [ ljd+21 ]; also in Liu+24 [ lyg+24 ]
J1718-3825,1718-3825,3,59121.0,1.9,0.2,-0.12,0.09,Liu+24 [ lyg+24 ]
B1718-35,1721-3532,1,49971.0,7.5,0.3,0.3,0.4,Espinoza+2011 [ elsk11 ]
J1718-3718,1718-3718,1,54610.0,33250.0,10.0,6.0,1.0,Manchestre+2011 [ mh11 ]
B1727-33,1730-3350,1,48000.0,3033.0,8.0,4.0,6.0,Johnston+1995 [ jml+95 ]
B1727-33,1730-3350,2,52107.0,3202.0,1.0,5.9,0.1,"Espinoza+2011 [ elsk11 ], also in Yu+2012 [ ymh+12 ]"
B1727-33,1730-3350,3,55908.0,2254.0,1.0,5.3,0.5,Basu+2021 [ bsa+21 ]; also in Lower+2021 [ ljd+21 ]
B1727-33,1730-3350,4,58398.0,5.9,0.5,,,New - Our measurement
B1727-47,1731-4744,1,49387.2,137.0,1.0,1.5,0.4,"Espinoza+2011 [ elsk11 ], also in D’Alessandro+1997 [ dm97 ],Yu+2012 [ ymh+12 ]"
B1727-47,1731-4744,2,50718.1,4.4,0.2,4.0,1.0,"Espinoza+2011 [ elsk11 ], also in Wang+2000 [ wmp+00 ],Yu+2012 [ ymh+12 ]"
B1727-47,1731-4744,3,52472.7,126.4,0.3,3.4,0.2,"Espinoza+2011 [ elsk11 ], also in Yu+2012 [ ymh+12 ]"
B1727-47,1731-4744,4,53582.0,2.7,0.1,0.2,0.2,Yu+2012 [ ymh+12 ]
B1727-47,1731-4744,5,56975.0,6.4,0.3,,,Lower+2021 [ ljd+21 ]
