obsid,name,mjd_start,exposure_s
2020180393,PSR_B0833-45,58806.400462963,0.0
2020180394,PSR_B0833-45,58823.2333333333,0.0
2020180395,PSR_B0833-45,58824.4740740741,0.0
2020180396,PSR_B0833-45,58826.9916666667,227.0
2020180397,PSR_B0833-45,58827.2425810185,1054.0
2020180398,PSR_B0833-45,58829.0452662037,781.0
2020180399,PSR_B0833-45,58842.4536805556,210.0
2020180401,PSR_B0833-45,58843.034224537,610.0
2020180402,PSR_B0833-45,58844.1921064815,1617.0
2020180403,PSR_B0833-45,58845.4858564815,1792.0
2020180404,PSR_B0833-45,58846.0022916667,3998.0
2020180405,PSR_B0833-45,58847.2928125,769.0
2020180406,PSR_B0833-45,58868.8002314815,752.0
2020180407,PSR_B0833-45,58872.7400462963,1534.0
2020180408,PSR_B0833-45,58876.8858796296,253.0
2020180409,PSR_B0833-45,58879.5800925926,525.0
2020180410,PSR_B0833-45,58881.0854166667,1115.0
2020180411,PSR_B0833-45,58882.0555555556,1380.0
2020180412,PSR_B0833-45,58890.1027777778,480.0
2020180413,PSR_B0833-45,58891.1351851852,1516.0
2020180414,PSR_B0833-45,58894.2937384259,397.0
2020180415,PSR_B0833-45,58895.2618055556,212.0
2020180416,PSR_B0833-45,58905.6509259259,706.0
2020180417,PSR_B0833-45,58906.4893518519,840.0
2020180418,PSR_B0833-45,58907.9756944444,513.0
3020180401,PSR_B0833-45,58952.9312384259,456.0
3020180402,PSR_B0833-45,58957.2559953704,286.0
3020180403,PSR_B0833-45,58992.9657407407,186.0
3020180404,PSR_B0833-45,58993.8048611111,149.0
3020180405,PSR_B0833-45,58995.8027777778,598.0
3020180406,PSR_B0833-45,58996.8340277778,708.0
3020180407,PSR_B0833-45,58997.15625,2836.0
3020180408,PSR_B0833-45,58998.5030092593,4443.0
3020180409,PSR_B0833-45,58999.0835648148,7400.0
3020180410,PSR_B0833-45,59000.1162037037,1473.0
3020180411,PSR_B0833-45,59001.5995601852,617.0
3020180412,PSR_B0833-45,59002.2441782407,0.0
3020180413,PSR_B0833-45,59027.7523148148,380.0
3020180414,PSR_B0833-45,59029.1705902778,2491.0
3020180415,PSR_B0833-45,59030.4594907407,1140.0
3020180416,PSR_B0833-45,59031.8803125,1316.0
3020180417,PSR_B0833-45,59032.0747569444,5136.0
3020180418,PSR_B0833-45,59033.168287037,772.0
3020180419,PSR_B0833-45,59034.5907291667,220.0
3020180420,PSR_B0833-45,59038.7266203704,340.0
3020180421,PSR_B0833-45,59046.4846875,823.0
3020180422,PSR_B0833-45,59049.1368055556,161.0
3020180423,PSR_B0833-45,59052.3395833333,0.0
3020180424,PSR_B0833-45,59060.3405092593,0.0
3020180425,PSR_B0833-45,59061.8275462963,41.0
3020180426,PSR_B0833-45,59064.0925925926,0.0
3020180427,PSR_B0833-45,59065.1252314815,180.0
3020180428,PSR_B0833-45,59066.0955671296,0.0
3020180429,PSR_B0833-45,59067.1289351852,0.0
3020180430,PSR_B0833-45,59107.3539351852,0.0
3020180431,PSR_B0833-45,59111.7393171296,443.0
3020180432,PSR_B0833-45,59114.6439699074,613.0
3020180433,PSR_B0833-45,59115.5674074074,0.0
3020180434,PSR_B0833-45,59116.3423726852,0.0
3020180435,PSR_B0833-45,59118.3405555556,0.0
3020180436,PSR_B0833-45,59119.7474537037,1689.0
3020180437,PSR_B0833-45,59120.0229513889,795.0
3020180438,PSR_B0833-45,59120.9913657407,149.0
3020180439,PSR_B0833-45,59124.791400463,0.0
3020180440,PSR_B0833-45,59127.2965277778,1058.0
