burst_id,mjd_topo,snr
B00678,60375.16742489,51.3
B00682,60375.16793106,39
B00683,60375.16808153,44.5
B00684,60375.16829196,174.9
B00686,60375.16843253,554.1
B00687,60375.16843265,77.9
B00689,60375.16848185,188.4
B00690,60375.16848221,110.3
B00691,60375.1684823,105.7
B00694,60375.16866334,28.5
B00695,60375.16880386,36.6
B00696,60375.16887984,116.1
B00698,60375.16906281,20.2
B00701,60375.1691151,79.1
B00702,60375.16914765,143.2
B00703,60375.16918281,82.7
B00705,60375.16934621,24.5
B00708,60375.16958574,62.4
B00709,60375.169774,92.1
B00710,60375.16977459,220.7
B00712,60375.1697776,21.9
B00713,60375.16977883,184
B00714,60375.16977924,40.7
B00716,60375.16991171,58.6
B00717,60375.16991199,374.1
B00719,60375.17013145,31.2
B00722,60375.17027966,510
B00724,60375.17039702,510.8
B00727,60375.17091234,45
B00729,60375.17106316,129.6
B00730,60375.17121985,708.6
B00731,60375.17122004,54.7
B00732,60375.17133547,333.9
B00733,60375.1713361,79.2
B00734,60375.17151623,60.7
B00735,60375.17155307,246.6
B00736,60375.17155361,23.8
B00738,60375.17206095,78.8
B00739,60375.17206139,47
B00740,60375.17209047,27.9
B00741,60375.17209062,21.1
B00742,60375.17242148,115.9
B00744,60375.17262744,30.4
B00745,60375.17270346,406.1
B00747,60375.17294023,1336.9
B00748,60375.17294032,131.8
B00749,60375.17303856,29.8
B00751,60375.17385373,65.4
B00752,60375.17408171,221.2
B00753,60375.17422548,101.7
B00754,60375.17429284,58.4
B00755,60375.17441185,475
B00756,60375.17453655,71
B00758,60375.1745744,43.6
B00759,60375.17480221,67.5
B00761,60375.17485194,50.1
B00766,60375.17519029,75.1
B00767,60375.17522514,129.5
B00768,60375.17524495,54.4
B00769,60375.17535861,23.9
B00770,60375.17552045,314.7
B00774,60375.17622124,30.7
B00776,60375.17646663,40.4
B00777,60375.17649248,41.1
B00778,60375.17652575,29.9
B00782,60375.17709416,21.5
B00783,60375.17737224,23.9
B00784,60375.17768939,37.3
B00786,60375.17769036,858.7
B00787,60375.1776907,61.8
B00788,60375.17781312,91.3
B00791,60375.17786746,41.6
B00792,60375.1779091,99.1
B00793,60375.17806264,83.3
B00799,60375.1781119,52.4
B00802,60375.17830146,37.4
B00806,60375.17894781,24.7
B00808,60375.17934284,31.8
B00809,60375.17934304,59.2
B00810,60375.17934323,98.6
B00813,60375.17964452,66.1
B00816,60375.17984524,45.3
B00817,60375.17998889,35.4
B00818,60375.1800055,36.2
B00823,60375.1800748,499.3
B00828,60375.1801444,84.4
B00830,60375.18019453,50.8
B00832,60375.18034257,158.5
B00835,60375.18045712,41.3
B00836,60375.1804572,76.2
B00839,60375.18063796,43.3
B00840,60375.18063819,296.5
B00842,60375.18071128,23.8
B00847,60375.1809961,142.5
B00848,60375.18120391,146
B00849,60375.18124824,291.6
B00850,60375.18124859,122.1
B00851,60375.18125925,246.6
B00852,60375.18132759,21.3
B00853,60375.18132779,114.4
B00854,60375.18132814,104.7
B00855,60375.18132824,48.7
B00856,60375.18160781,30.6
B00857,60375.18160937,194.3
B00859,60375.18233183,178.3
B00860,60375.18233297,455.8
B00861,60375.18250854,114.7
B00866,60375.18260442,234.7
B00867,60375.18262344,36.2
B00872,60375.18286506,96.5
B00873,60375.18298793,70
B00875,60375.18302514,52.7
B00876,60375.18303862,40.6
B00877,60375.18336393,79.5
B00879,60375.18346759,76.7
B00880,60375.1836597,20.9
B00883,60375.18385168,304.7
B00884,60375.18385479,367.3
B00885,60375.18394317,119.4
B00886,60375.1839458,27.9
B00888,60375.18412715,259.1
B00892,60375.18422538,1209.2
B00893,60375.18422578,82.4
B00895,60375.18450925,56
B00897,60375.18506384,80.5
