repeater_name,tns_name,mjd_400,fluence_jyms,excluded_flag
FRB20181030A,FRB20200122B,58870.43542173781,4.396034375437815,0
FRB20181030A,FRB20200122C,58870.43634540252,1.6391323191264824,0
FRB20181030A,FRB20200122D,58870.923273785214,0.702659791109128,0
FRB20181030A,FRB20200122E,58870.92352374819,0.8262697878243258,0
FRB20181030A,FRB20200122F,58870.932191910455,1.5168002962058604,0
FRB20181030A,FRB20200122G,58870.93287390074,2.0870268754825143,0
FRB20190208A,FRB20200124A,58872.779841600626,4.9655635079763965,0
FRB20190417A,FRB20200124B,58872.80872175511,1.9999148028162392,0
FRB20200127B,FRB20200127B,58875.83372593621,5.172433074280573,0
FRB20200202A,FRB20200202A,58881.03565562168,8.48552338764907,0
FRB20180916B,FRB20200203A,58882.04680524103,1.2451789551294399,0
FRB20180916B,FRB20200204B,58883.03995003219,5.629219316469749,0
FRB20180916B,FRB20200204C,58883.0415546988,18.653905884173177,0
FRB20180916B,FRB20200204D,58883.044053429694,2.449139734938249,0
FRB20180916B,FRB20200204E,58883.053719324525,1.4884641036385122,0
FRB20190915D,FRB20200213C,58892.95931713478,2.1792212329319165,0
FRB20190915D,FRB20200213B,58892.96089559225,3.599715737985682,0
FRB20190915D,FRB20200214B,58893.96581561965,11.685142536317883,0
FRB20190915D,FRB20200214A,58893.96836677429,13.87341724795668,0
FRB20191106C,FRB20200215A,58894.48277320988,1.5353711712473697,0
FRB20200127B,FRB20200219B,58898.76908682063,4.945715666186011,0
FRB20180916B,FRB20200220A,58899.00705985476,1.9847567767125303,0
FRB20180916B,FRB20200221A,58900.006813700005,4.795559644447814,0
FRB20200223B,FRB20200223B,58902.929432597564,1.488139485035918,0
FRB20180814A,FRB20200224A,58903.074934394936,2.0186964365853113,0
FRB20180814A,FRB20200302A,58910.07796972645,2.9640195581457367,0
FRB20191113C,FRB20200305A,58913.259605423795,2.3926658225924315,0
FRB20200308B,FRB20200308B,58916.62734306079,5.18335959736772,0
FRB20190915D,FRB20200312A,58920.8847840545,2.8264405197770173,0
FRB20190915D,FRB20200313C,58921.88626690294,12.491762365680378,0
FRB20190208A,FRB20200314A,58922.6407545264,13.542395188321212,0
FRB20191106C,FRB20200317D,58925.39820742167,2.588800671363895,0
FRB20190113A,FRB20200321G,58929.13720654486,6.898739249897624,0
FRB20180916B,FRB20200324A,58932.89992752753,3.3425868608118674,0
FRB20190905A,FRB20200402A,58941.12769796443,19.128594594694608,0
FRB20191114A,FRB20200418A,58957.51243574146,6.711068212131533,0
FRB20200420A,FRB20200420A,58959.77491040103,1.6720517834121373,0
FRB20190208A,FRB20200422A,58961.53207685763,2.1346805414720187,0
FRB20180916B,FRB20200423B,58962.81879965028,2.187789788048,0
FRB20180916B,FRB20200424A,58963.828779534524,1.812288165425609,0
FRB20200510A,FRB20200510A,58979.09866419378,22.109593920053165,0
FRB20180916B,FRB20200512A,58981.7766230797,9.354336496728083,0
FRB20190208A,FRB20200513B,58982.47538434367,1.7542326292458406,0
FRB20180916B,FRB20200513A,58982.771574960316,2.394180274890454,0
FRB20191013D,FRB20200515A,58984.79805838491,22.194142906403936,0
FRB20191106C,FRB20200610C,59010.16824688879,0.8090760190955415,0
FRB20190303A,FRB20200613C,59013.18791929282,0.8504847641745634,0
FRB20180916B,FRB20200613A,59013.69287114986,3.8835584306403086,0
FRB20191114A,FRB20200614B,59014.357610511324,nan,0
