episode,mjd,fluence_jyms,energy_erg
xu2022_spring,59316.38825604,5.9627,
xu2022_spring,59316.39081055,0.1938,
xu2022_spring,59316.39155335,4.7592,
xu2022_spring,59316.39235718,0.1438,
xu2022_spring,59316.39235761,2.2315,
xu2022_spring,59316.39548434,0.7347,
xu2022_spring,59316.39557333,3.4874,
xu2022_spring,59316.39580381,0.3368,
xu2022_spring,59316.39622467,3.2035,
xu2022_spring,59316.39627519,1.2755,
xu2022_spring,59316.39731734,0.1302,
xu2022_spring,59316.39752958,5.7123,
xu2022_spring,59316.39814621,0.0198,
xu2022_spring,59316.39829344,0.2474,
xu2022_spring,59316.39829378,2.0326,
xu2022_spring,59316.39866824,1.5038,
xu2022_spring,59318.31157568,1.435,
xu2022_spring,59318.31237589,0.9875,
xu2022_spring,59318.31887928,0.2394,
xu2022_spring,59318.31887938,0.2547,
xu2022_spring,59318.323029,0.0699,
xu2022_spring,59318.32343161,5.2362,
xu2022_spring,59318.32351643,5.223,
xu2022_spring,59318.34975619,0.2624,
xu2022_spring,59318.34976792,0.1091,
xu2022_spring,59318.35039401,0.0541,
xu2022_spring,59318.35050208,0.1971,
xu2022_spring,59318.35203553,0.2272,
xu2022_spring,59318.35289156,0.1509,
xu2022_spring,59318.35344433,3.4666,
xu2022_spring,59318.35357108,1.2984,
xu2022_spring,59318.35390707,0.408,
xu2022_spring,59318.35398436,0.5138,
xu2022_spring,59318.35410223,0.647,
xu2022_spring,59318.35420168,1.632,
xu2022_spring,59318.35612936,0.0923,
xu2022_spring,59318.35698727,2.8688,
xu2022_spring,59318.35881471,0.0722,
xu2022_spring,59318.35946811,0.7213,
xu2022_spring,59318.35985296,0.517,
xu2022_spring,59318.36023759,0.2798,
xu2022_spring,59318.36491844,2.4814,
xu2022_spring,59318.36781566,1.9781,
xu2022_spring,59318.3691616,3.8712,
xu2022_spring,59318.36950609,10.2622,
xu2022_spring,59318.37292024,0.3051,
xu2022_spring,59318.37318945,0.0984,
xu2022_spring,59318.3732886,0.8526,
xu2022_spring,59318.37336168,3.2507,
xu2022_spring,59318.37458955,3.924,
xu2022_spring,59318.37540558,0.8386,
xu2022_spring,59318.37703006,9.0461,
xu2022_spring,59318.37857367,1.3235,
xu2022_spring,59318.37912787,0.481,
xu2022_spring,59318.37926665,0.112,
xu2022_spring,59318.38036572,60.1485,
xu2022_spring,59318.38090052,0.0819,
xu2022_spring,59318.38152791,0.9299,
xu2022_spring,59318.38323017,3.2182,
xu2022_spring,59318.38347429,0.0541,
xu2022_spring,59318.38409043,2.1968,
xu2022_spring,59318.384099,10.3814,
xu2022_spring,59318.38543074,0.1144,
xu2022_spring,59318.38738951,1.3042,
xu2022_spring,59318.3885028,2.7568,
xu2022_spring,59318.3894285,0.3586,
xu2022_spring,59318.38944015,0.2922,
xu2022_spring,59318.39098444,1.0979,
xu2022_spring,59318.39125704,0.0702,
xu2022_spring,59318.39125781,1.089,
xu2022_spring,59318.39220541,0.8566,
xu2022_spring,59319.31185708,4.1278,
xu2022_spring,59319.31411348,2.0278,
xu2022_spring,59319.31535563,0.2498,
xu2022_spring,59319.31676748,0.2254,
xu2022_spring,59319.31717118,5.9419,
xu2022_spring,59319.3184683,0.3376,
xu2022_spring,59319.31846878,7.6194,
xu2022_spring,59319.32197573,0.1661,
xu2022_spring,59319.32204275,0.0965,
xu2022_spring,59319.32207147,0.4522,
xu2022_spring,59319.32499848,0.4963,
xu2022_spring,59319.32768885,0.0538,
xu2022_spring,59319.32827282,0.1635,
xu2022_spring,59319.3286456,0.4024,
xu2022_spring,59319.33095397,5.0701,
xu2022_spring,59319.3309544,8.8773,
xu2022_spring,59319.33164755,2.241,
xu2022_spring,59319.33164827,5.3518,
xu2022_spring,59319.33324294,0.2962,
xu2022_spring,59319.33497234,0.6298,
xu2022_spring,59319.33687301,4.5925,
xu2022_spring,59319.33817778,13.2203,
xu2022_spring,59319.33838326,0.1258,
xu2022_spring,59319.33849357,0.8886,
xu2022_spring,59319.33878336,8.5075,
xu2022_spring,59319.33890777,1.9958,
xu2022_spring,59319.33975471,0.5166,
xu2022_spring,59319.3410016,1.2891,
xu2022_spring,59319.34137937,10.599,
xu2022_spring,59319.34228822,1.6197,
xu2022_spring,59319.34243784,1.2787,
xu2022_spring,59319.34615649,3.5597,
xu2022_spring,59319.34947064,0.3043,
xu2022_spring,59319.35343212,1.5214,
xu2022_spring,59319.35379153,1.3027,
xu2022_spring,59319.35473676,0.1157,
xu2022_spring,59319.35611713,0.052,
xu2022_spring,59319.35650479,1.7966,
xu2022_spring,59319.35841319,0.6198,
xu2022_spring,59319.36013683,0.9422,
xu2022_spring,59319.36032109,0.8136,
xu2022_spring,59319.36055898,0.0307,
xu2022_spring,59319.36115765,0.9384,
xu2022_spring,59319.3614323,0.4413,
xu2022_spring,59319.36279793,0.499,
xu2022_spring,59319.36542448,7.7462,
xu2022_spring,59319.36795434,1.3107,
xu2022_spring,59319.36795506,3.6216,
xu2022_spring,59319.37150921,4.3389,
xu2022_spring,59319.3747176,8.1781,
xu2022_spring,59319.37471812,0.1459,
xu2022_spring,59319.37581469,2.7122,
xu2022_spring,59319.37581499,1.3114,
xu2022_spring,59319.37816135,1.0126,
xu2022_spring,59319.37849963,2.2773,
xu2022_spring,59319.3790573,0.2574,
xu2022_spring,59319.3790576,0.6248,
xu2022_spring,59319.37990373,3.6096,
xu2022_spring,59319.38321594,1.7528,
xu2022_spring,59319.38533532,0.1448,
xu2022_spring,59319.38581739,2.743,
xu2022_spring,59320.22857875,0.6106,
xu2022_spring,59320.22858124,0.1682,
xu2022_spring,59320.23163495,0.8272,
xu2022_spring,59320.23453922,0.1136,
xu2022_spring,59320.23868498,0.0477,
xu2022_spring,59320.24023791,6.2523,
xu2022_spring,59320.24136549,0.776,
xu2022_spring,59320.24916419,0.7736,
xu2022_spring,59320.2502828,0.1536,
xu2022_spring,59320.25081131,0.108,
xu2022_spring,59320.25259849,0.2272,
xu2022_spring,59320.25394336,0.6795,
xu2022_spring,59320.25498122,0.8709,
xu2022_spring,59320.26033214,0.3006,
xu2022_spring,59320.26033244,1.2906,
xu2022_spring,59320.26122124,2.7824,
xu2022_spring,59320.26283659,0.4442,
xu2022_spring,59320.26848745,0.8254,
xu2022_spring,59320.2690096,7.34,
