name,mjd_start,mjd_end,exposure_s
PSR_J0537-6910,58233.1858796296,58233.1999305556,733.0
PSR_J0537-6910,58234.0858796296,58234.7358217593,917.0
PSR_J0537-6910,58236.4781712963,58236.9393518519,4030.0
PSR_J0537-6910,58236.995787037,58237.0037037037,0.0
PSR_J0537-6910,58247.7789467593,58247.9761574074,697.0
PSR_J0537-6910,58248.0361226852,58248.9400462963,466.0
PSR_J0537-6910,58249.0004513889,58249.8418981481,1066.0
PSR_J0537-6910,58250.8914351852,58250.9596875,109.0
PSR_J0537-6910,58258.4115740741,58258.9997685185,2418.0
PSR_J0537-6910,58259.0502314815,58259.0641203704,739.0
PSR_J0537-6910,58261.1157407407,58261.7657407407,2013.0
PSR_J0537-6910,58262.0108449074,58262.7305555556,2237.0
PSR_J0537-6910,58263.1738425926,58263.2451388889,385.0
PSR_J0537-6910,58267.8599537037,58267.9400347222,1566.0
PSR_J0537-6910,58267.9876388889,58268.9689814815,10347.2667740881
PSR_J0537-6910,58269.0178240741,58269.9983796296,3388.75649502873
PSR_J0537-6910,58270.2446759259,58270.962962963,1967.43691676855
PSR_J0537-6910,58271.0220833333,58271.9918981481,298.0
PSR_J0537-6910,58272.049375,58272.8921296296,178.0
PSR_J0537-6910,58273.0187268518,58273.0208333333,0.0
PSR_J0537-6910,58277.4445833333,58277.5861111111,565.0
PSR_J0537-6910,58282.5085416667,58282.5844907407,1802.0
PSR_J0537-6910,58283.3446875,58283.8023148148,3246.0
PSR_J0537-6910,58284.0527314815,58284.1851388889,932.0
PSR_J0537-6910,58292.7925925926,58292.9988425926,697.12819519639
PSR_J0537-6910,58293.0502314815,58293.4484837963,4495.0
PSR_J0537-6910,58295.9587962963,58295.9643518518,415.0
PSR_J0537-6910,58296.0140046296,58296.737037037,2482.56378236413
PSR_J0537-6910,58299.6835648148,58299.8851851852,1153.0
PSR_J0537-6910,58300.0049421296,58300.9830902778,1507.0
PSR_J0537-6910,58301.3409027778,58301.4155092593,1131.0
PSR_J0537-6910,58308.0934259259,58308.8867824074,6090.82889023423
PSR_J0537-6910,58309.1902777778,58309.9798726852,6439.24985301495
PSR_J0537-6910,58310.0229861111,58310.7383796296,2096.0
PSR_J0537-6910,58311.4356597222,58311.9612962963,1786.58996468782
PSR_J0537-6910,58312.0807407407,58312.7398148148,3329.04461911321
PSR_J0537-6910,58313.0460532407,58313.7638541667,4759.0
PSR_J0537-6910,58314.1371064815,58314.6127314815,2616.0
PSR_J0537-6910,58315.0400347222,58315.7585069444,3057.0
PSR_J0537-6910,58316.0026851852,58316.9811921296,4277.0
PSR_J0537-6910,58317.0315972222,58317.8138425926,4343.0
PSR_J0537-6910,58318.0016087963,58318.0082175926,523.0
PSR_J0537-6910,58319.0898148148,58319.9395833333,3575.0
PSR_J0537-6910,58319.9900462963,58320.5165740741,4517.09079995751
PSR_J0537-6910,58321.7273263889,58321.7405092593,515.0
PSR_J0537-6910,58322.3067708333,58322.7666319444,30.0
PSR_J0537-6910,58323.5289351852,58323.5979166667,30.4231193363667
PSR_J0537-6910,58325.607037037,58325.8747685185,903.0
PSR_J0537-6910,58331.4497569444,58331.6653009259,1643.0
PSR_J0537-6910,58333.6326157407,58333.7069444444,1731.0
PSR_J0537-6910,58337.6159490741,58337.9486111111,3541.0
PSR_J0537-6910,58338.0028587963,58338.3993055556,1060.0
PSR_J0537-6910,58341.8643518519,58341.9967013889,194.0
PSR_J0537-6910,58342.3791666667,58342.7055787037,1317.0
PSR_J0537-6910,58347.3395833333,58347.9981481481,3352.0
PSR_J0537-6910,58348.75625,58348.9645833333,3184.0
PSR_J0537-6910,58351.2703703704,58351.3472222222,583.0
PSR_J0537-6910,58356.0801273148,58356.8679282407,4363.0
PSR_J0537-6910,58359.7510416667,58359.8263888889,1490.0
PSR_J0537-6910,58360.0087615741,58360.0837962963,455.0
PSR_J0537-6910,58362.0145833333,58362.9830787037,2212.0
PSR_J0537-6910,58363.044212963,58363.0474305556,69.0
PSR_J0537-6910,58365.7442361111,58365.8145717593,0.0
PSR_J0537-6910,58366.5569212963,58366.5599537037,0.0
PSR_J0537-6910,58368.9964236111,58369.2665625,795.0
PSR_J0537-6910,58374.412037037,58374.6787037037,1500.0
PSR_J0537-6910,58375.3185185185,58375.9498726852,764.0
PSR_J0537-6910,58376.3268171296,58376.4185185185,2106.0
PSR_J0537-6910,58377.5050925926,58377.9643518518,1060.0
PSR_J0537-6910,58378.3851388889,58378.7361111111,2996.0
PSR_J0537-6910,58379.0900462963,58379.8804861111,2957.0
PSR_J0537-6910,58380.0576388889,58380.2155092593,5966.0
PSR_J0537-6910,58381.3458333333,58381.9399305556,2987.89206635952
PSR_J0537-6910,58381.9914351852,58382.9708101852,8732.0
PSR_J0537-6910,58383.0232060185,58383.9993634259,7675.71632254124
PSR_J0537-6910,58384.0560185185,58384.586724537,3773.0
PSR_J0537-6910,58386.9569444444,58386.9701388889,549.0
PSR_J0537-6910,58387.0212962963,58387.8064814815,1764.0
PSR_J0537-6910,58395.3050925926,58395.380787037,1337.58045679331
PSR_J0537-6910,58402.2081018519,58402.9900462963,3809.0
PSR_J0537-6910,58403.0407407407,58403.9550810185,9165.0
PSR_J0537-6910,58405.862037037,58405.9965277778,1070.0
PSR_J0537-6910,58406.0473148148,58406.9613194444,1881.20263493061
PSR_J0537-6910,58407.0847222222,58407.604837963,1373.0
PSR_J0537-6910,58408.7671643519,58408.8398032407,1301.0
PSR_J0537-6910,58409.0240740741,58409.9358333333,4754.0
PSR_J0537-6910,58409.9890856482,58410.7735300926,7814.0
PSR_J0537-6910,58412.6918981482,58412.7668518519,1681.0
PSR_J0537-6910,58413.0131944444,58413.9905092593,5595.0
PSR_J0537-6910,58414.0461458333,58414.119212963,1061.0
PSR_J0537-6910,58415.1238425926,58415.7108796296,1873.0
PSR_J0537-6910,58416.276412037,58416.4143518519,936.0
PSR_J0537-6910,58417.0484143519,58417.2524305556,2733.0
PSR_J0537-6910,58419.5689814815,58419.8393518518,5344.0
PSR_J0537-6910,58421.3001388889,58421.3840277778,2685.0
PSR_J0537-6910,58422.2018171296,58422.8638888889,4824.0
PSR_J0537-6910,58425.7502314815,58425.7594907407,460.0
PSR_J0537-6910,58426.0710648148,58426.4030092593,4431.0
PSR_J0537-6910,58429.5914930556,58429.6643518519,298.0
PSR_J0537-6910,58431.3251388889,58431.724537037,1723.0
PSR_J0537-6910,58433.4534722222,58433.7854166667,1192.0
PSR_J0537-6910,58434.0255439815,58434.6872685185,3937.0
PSR_J0537-6910,58435.1183912037,58435.9714814815,2555.0
PSR_J0537-6910,58436.0181944444,58436.9840277778,2660.0
PSR_J0537-6910,58437.3014814815,58437.6291319444,20.0
PSR_J0537-6910,58440.3863888889,58440.7192708333,1418.0
PSR_J0537-6910,58442.2505787037,58442.2691550926,784.0
PSR_J0537-6910,58443.1503935185,58443.8744675926,3220.0
PSR_J0537-6910,58447.9205439815,58447.9893518519,26.0
PSR_J0537-6910,58448.0492476852,58448.1180555556,14.0
PSR_J0537-6910,58449.0796296296,58449.0877546296,106.0
PSR_J0537-6910,58451.0808796296,58451.6671180556,87.0
PSR_J0537-6910,58455.2638888889,58455.5902662037,337.0
PSR_J0537-6910,58458.5816319444,58458.8493055556,2937.0
PSR_J0537-6910,58460.4092476852,58460.4143402778,0.0
PSR_J0537-6910,58465.7877430556,58465.9944444444,2395.0
PSR_J0537-6910,58466.0455902778,58466.8305555556,4061.45586767793
PSR_J0537-6910,58467.0763541667,58467.2148842593,1531.0
PSR_J0537-6910,58470.9506597222,58470.9634259259,903.0
PSR_J0537-6910,58471.0150115741,58471.45625,4949.0
PSR_J0537-6910,58473.7638425926,58473.8418981481,740.0
PSR_J0537-6910,58474.8608796296,58475.0,333.0
PSR_J0537-6910,58476.4794675926,58476.9474537037,6450.0
PSR_J0537-6910,58476.9938888889,58477.0761574074,1028.0
PSR_J0537-6910,58480.3246064815,58480.7906828704,5366.30783179402
PSR_J0537-6910,58481.2268518519,58481.3016666667,703.0
PSR_J0537-6910,58482.0821064815,58482.6087962963,3240.0
PSR_J0537-6910,58483.0459606481,58483.5736111111,2895.0
PSR_J0537-6910,58495.574525463,58495.9720486111,1506.0
PSR_J0537-6910,58496.3537037037,58496.7442708333,699.0
PSR_J0537-6910,58496.9902662037,58497.2590856481,1670.0
PSR_J0537-6910,58499.9460648148,58499.9523032407,282.0
PSR_J0537-6910,58500.0104166667,58500.9816898148,2250.0
PSR_J0537-6910,58501.0400462963,58501.9467361111,2297.0
PSR_J0537-6910,58502.5847222222,58502.8478935185,1139.0
PSR_J0537-6910,58503.0988078704,58503.9421064815,666.0
PSR_J0537-6910,58504.0645486111,58504.7143171296,423.0
PSR_J0537-6910,58505.0949074074,58505.8085300926,912.0
