mjd,mag,magerr,band
58700.434468,19.3139,0.0610,zr
58700.434919,19.2521,0.0582,zr
58704.192674,19.3752,0.0643,zr
58704.193125,19.3617,0.0637,zr
58704.216030,19.2248,0.0575,zr
58704.225232,19.2869,0.0602,zr
58704.225683,19.2927,0.0605,zr
58704.237593,19.3744,0.0643,zr
58704.255463,19.2860,0.0601,zr
58704.405104,20.1379,0.1255,zg
58704.405556,19.9638,0.1116,zg
58705.289514,19.3395,0.0626,zr
58705.289977,19.4090,0.0660,zr
58705.314630,19.2828,0.0600,zr
58705.323912,19.3365,0.0625,zr
58705.335405,19.3652,0.0638,zr
58705.350162,19.3193,0.0617,zr
58705.350613,19.3202,0.0617,zr
58705.407558,20.0491,0.0904,zg
58705.453044,19.2582,0.0589,zr
58706.253287,19.3057,0.0610,zr
58706.253738,19.3046,0.0610,zr
58706.274595,19.2610,0.0590,zr
58706.309167,19.3063,0.0611,zr
58706.336250,19.3254,0.0620,zr
58706.336701,19.3374,0.0625,zr
58707.276215,19.2765,0.0597,zr
58707.276678,19.3040,0.0610,zr
58707.307974,19.3133,0.0614,zr
58707.319803,19.3078,0.0611,zr
58707.324213,19.2851,0.0601,zr
58707.334745,19.3267,0.0620,zr
58707.348241,19.2695,0.0594,zr
58707.348681,19.3155,0.0615,zr
58708.254907,19.3004,0.0608,zr
58708.255359,19.3150,0.0615,zr
58708.273137,19.3321,0.0623,zr
58708.293368,19.2280,0.0576,zr
58708.301632,19.1815,0.0556,zr
58708.324502,19.5106,0.0713,zr
58708.324954,19.3979,0.0654,zr
58708.395023,19.8276,0.1014,zg
58708.395475,19.9896,0.1136,zg
58708.444340,20.2612,0.1060,zg
58708.487326,19.2877,0.0602,zr
58709.282569,19.3903,0.0651,zr
58709.283021,19.2560,0.0588,zr
58709.299120,19.3720,0.0642,zr
58709.309271,19.3958,0.0653,zr
58709.350613,19.3216,0.0618,zr
58709.351065,19.1882,0.0559,zr
58710.262731,19.3202,0.0617,zr
58710.263183,19.2909,0.0604,zr
58710.292326,19.3369,0.0625,zr
58710.304051,19.2631,0.0591,zr
58710.316806,19.3096,0.0612,zr
58710.327303,19.3138,0.0614,zr
58710.327755,19.3763,0.0644,zr
58711.390613,19.2131,0.0566,zr
58711.391065,19.2754,0.0593,zr
58712.253275,19.3626,0.0637,zr
58712.292951,19.3621,0.0637,zr
58712.299514,19.4007,0.0656,zr
58712.317396,19.3407,0.0627,zr
58712.391863,19.1899,0.0556,zr
58712.392315,19.2444,0.0579,zr
58712.470243,20.1291,0.0960,zg
58713.307974,19.2284,0.0576,zr
58713.310972,19.4272,0.0669,zr
58713.318576,19.3240,0.0619,zr
58714.262303,19.3039,0.0610,zr
58714.262755,19.3215,0.0618,zr
