t_days,flux,flux_err
1743.82,0.0464325,0.00934348
1744.75,0.0433564,0.00887574
1747.07,0.0461118,0.00804144
1748.07,0.0242689,0.00822652
1752.16,0.0494285,0.00755294
1761.54,0.0452296,0.0100837
1763.47,0.0398537,0.00905247
1764.2,0.0351253,0.00814803
1767.46,0.0366172,0.00783793
1769.12,0.0421921,0.00863099
1772.17,0.0426823,0.0138068
1781.8,0.103939,0.0440965
1783.8,0.0493388,0.00794806
1791.64,0.0530274,0.0083542
1793.63,0.053336,0.00889197
1801.41,0.031321,0.00769868
1809.43,0.0517124,0.0121566
1815.21,0.0543898,0.00863698
1816.67,0.0427278,0.00810859
1817.4,0.0464659,0.00923308
1821.92,0.0272182,0.00980753
1823.25,0.0398819,0.00949836
1824.31,0.0222758,0.0070427
1833.74,0.0559748,0.00854286
1836.5,0.041781,0.00927326
1838.65,0.0394913,0.00983422
1841.92,0.0485248,0.00836644
1845.71,0.0482718,0.00869018
1849.32,0.0388532,0.00924343
1850.62,0.0424248,0.00929036
1851.62,0.0323499,0.00851352
1857.18,0.0570519,0.00903167
1861.64,0.0460773,0.00766189
1868.28,0.0578206,0.0175438
1869.41,0.0614479,0.00892812
1871.14,0.0379804,0.00714182
1873.54,0.059766,0.00871983
1876.51,0.0527044,0.00835158
1877.38,0.0215944,0.00873978
1878.81,0.0577344,0.00900823
1888.6,0.0514549,0.00871119
1889.81,0.0466429,0.00820523
1892.75,0.0310171,0.00781935
1893.39,0.0284648,0.00633385
1894.45,0.057836,0.0103442
1901.37,0.0590528,0.0207444
1902.62,0.0472597,0.00798758
1906.34,0.057193,0.0106461
1907.27,0.0521061,0.00834223
1911.26,0.0395778,0.00826949
1916.69,0.0473526,0.00797193
1918.75,0.0517123,0.00839463
1919.75,0.018752,0.00737529
1921.54,0.0626278,0.00911014
1924.41,0.0481869,0.00773666
1925.01,0.0517218,0.0106206
1926.67,0.0389286,0.00719199
1927.86,0.036215,0.00849823
1932.27,0.0312345,0.011764
1935.68,0.0616012,0.0122253
1938.36,0.044789,0.00888745
1942.81,0.122317,0.0150353
1944.8,0.0429715,0.0102139
1947.39,0.0474932,0.00809803
1952.56,0.0279599,0.0085846
1954.16,0.0294658,0.00834364
1955.42,0.0646834,0.0101881
1956.82,0.0377452,0.00788756
1958.4,0.0469557,0.0080364
1960.2,0.0479704,0.0104711
1962.39,0.0554029,0.00863401
1965.45,0.0493939,0.0079908
1966.05,0.0420719,0.00847889
1971.03,0.0529006,0.00819009
1973.02,0.0781495,0.013514
1976.07,0.0563636,0.00972932
1977.03,0.0627624,0.0157048
1978.07,0.0340291,0.00767941
1979.4,0.0444581,0.00774065
1980.66,0.063441,0.0112488
1984.64,0.0648467,0.00924555
1985.18,0.0446494,0.00786137
1986.2,0.0323169,0.00769624
1989.09,0.0491518,0.00783184
1992.48,0.0694984,0.00962539
1998.38,0.0506734,0.00903323
2004.46,0.0539396,0.00580522
2006.29,0.0476203,0.00865713
2008.35,0.0444586,0.00809452
2009.01,0.0608209,0.0088345
2014.19,0.0360441,0.00842359
2111.01,0.0233487,0.0074995
2112.6,0.0431544,0.0085224
2113.14,0.0538865,0.00903629
2127.28,0.0543692,0.0160967
2135.25,0.0726294,0.0168109
2137.65,0.0478413,0.00869559
2139.04,0.0588193,0.00904635
2149.66,0.0425456,0.00820041
2152.64,0.0619203,0.0100637
2156.11,0.0678793,0.0186005
2162.47,0.0662213,0.01493
2164.53,0.0745134,0.0131757
2170.45,0.0371644,0.00777475
2177.42,0.0501087,0.00890131
2178.48,0.0343329,0.00745683
2179.54,0.0334012,0.00908501
2180.21,0.0377355,0.00823626
2181.07,0.0399776,0.00740382
2183.19,0.0456921,0.00936455
2184.76,0.0495193,0.00790002
2198.6,0.0342046,0.00801255
2200.59,0.058449,0.0132169
2201.39,0.0668637,0.0160315
2202.52,0.0363216,0.019149
2203.92,0.0583948,0.00939879
2204.51,0.0738319,0.0210271
2207.36,0.186008,0.0171768
2212.27,0.181833,0.0269133
2215.93,0.0339512,0.00773387
2218.32,0.054377,0.0107952
2221.24,0.0305044,0.00918993
2227.3,0.0475577,0.00803216
2230.67,0.066594,0.00976507
2243.62,0.0394146,0.00738419
2245.41,0.0586154,0.00979815
2246.35,0.049927,0.0093836
2246.54,0.0285814,0.00680777
2247.35,0.0427024,0.00827233
2248.67,0.0449554,0.00766252
2249.74,0.0389167,0.0083899
2253.13,3.81765,0.529038
2259.57,0.0417627,0.0080113
2261.23,0.0431669,0.00609883
2263.15,0.0397894,0.0096442
2271.32,0.0403339,0.00824764
2272.38,0.043701,0.00907871
2277.36,0.0681301,0.00998376
2282.01,0.0486327,0.00996213
2286.39,0.0486222,0.0117463
2287.66,0.0473292,0.00818179
2288.65,0.165445,0.0246448
2292.5,0.144828,0.0131619
2293.59,0.0471166,0.0075499
2293.95,0.0419012,0.0138755
2304.91,0.0420144,0.007351
2305.08,0.0472419,0.00696932
2306.11,0.0474269,0.00958995
2307.85,0.0226968,0.0125447
2310.37,0.0330299,0.00787195
2311.29,0.0529683,0.00921248
2314.22,0.0492227,0.00939904
2330.42,0.0653399,0.0131777
2331.47,0.0318077,0.00859523
2332.34,0.0520694,0.00901439
2334.26,0.0393267,0.00727193
2336.99,0.0266537,0.00759652
2337.45,0.0614647,0.014993
2340.24,0.0659893,0.0114174
2346.49,0.0508839,0.00957198
2348.35,0.0480041,0.0150441
2352.47,0.0219401,0.00935638
2360.03,0.0456708,0.0088201
2361.36,0.0368811,0.00766446
2363.29,0.0448574,0.00751685
2366.47,0.0395093,0.00820567
2375.24,0.0319348,0.00722963
2376.16,0.0426191,0.00892471
2473.49,0.0284051,0.00805351
2476.41,0.0468571,0.00968686
2477.81,0.0484332,0.00797135
2478.87,0.0231937,0.0095938
2479.81,0.0454112,0.00822001
2484.65,0.0407866,0.00883779
2494.29,0.0622055,0.0121317
2495.21,0.0361384,0.0163456
2499.19,0.0370307,0.00822373
2500.92,0.0516211,0.0129822
2512.54,0.0408463,0.00978691
2516.72,0.0461242,0.00964836
2524.96,0.0824138,0.0183697
2527.41,0.0251004,0.00975449
2531.4,0.068383,0.0109334
2533.52,0.052235,0.0101384
2534.65,0.0705815,0.0119162
2536.75,0.0618102,0.0099084
2538.37,0.0294397,0.00889955
2544.14,0.0503875,0.00940981
2554.83,0.0604886,0.0109439
2555.96,0.041476,0.00939969
2558.81,0.0276385,0.00831652
2564.93,0.0302245,0.0112081
2566.45,0.0349399,0.0123375
2567.53,0.0446135,0.0114885
2570.97,0.0455683,0.0105724
2571.49,0.0155675,0.00837243
2573.53,0.0590884,0.010868
2574.81,0.0387867,0.0101734
2577.45,0.0678604,0.0125249
2584.84,0.0507133,0.0110565
2587.9,0.0621112,0.00890228
2592.48,0.0489486,0.0106071
2598.72,0.0492386,0.00987947
2599.05,0.0643969,0.0101158
2600.64,0.0464275,0.00902379
2603.63,0.0628549,0.0115424
2606.22,0.0296009,0.0102967
2613.26,0.0390711,0.00979905
2622.23,0.0847475,0.0177487
2625.95,0.03439,0.0151298
2628.34,0.0433547,0.0101685
2640.88,0.0424513,0.00960997
2643.74,0.0516889,0.00919721
2649.59,0.0398496,0.00841504
2656.45,0.0678099,0.012783
2658.28,0.0517048,0.00865475
2659.28,0.0391784,0.0104235
2662.33,0.0646567,0.00977582
2671.56,0.0400046,0.00886678
2674.08,0.0328988,0.0097443
2675.14,0.0873629,0.0134015
